t,alt,ax,ay,az,gx,gy,gz,escPWM,rollDeg,pitchDeg
18509,-52.39,-0.0557,0.0066,0.9443,-0.0310,-0.0462,-0.0245,1576,8.18,8.18
18607,-52.37,-0.1089,0.0112,0.9927,0.1439,-0.0047,-0.1344,1576,8.18,8.18
18705,-52.30,-0.0925,0.0679,0.9851,0.1387,-0.0838,-0.2345,1576,8.18,8.18
18803,-52.37,-0.0781,0.0603,0.9802,-0.0229,-0.0280,-0.0662,1576,8.18,8.18
18903,-52.33,-0.1580,0.0173,1.0017,-0.1034,-0.0854,-0.0101,1576,8.18,8.18
19002,-52.48,-0.1260,0.0022,1.0703,-0.0188,-0.0775,0.0341,1576,8.18,8.18
19100,-52.60,-0.0583,0.0261,1.0767,0.1132,0.0394,-0.0542,1576,8.18,8.18
19198,-52.49,0.0063,0.0371,1.0232,0.1415,0.3010,-0.0930,1576,8.18,8.18
19296,-52.26,-0.0393,0.0718,0.9407,0.1045,0.6298,-0.0991,1576,8.18,8.18
19394,-52.41,-0.1641,0.0701,0.9167,-0.0429,0.6836,-0.0173,1577,8.18,8.18
19492,-52.36,-0.2556,0.0232,0.9294,-0.0308,0.7256,0.0610,1577,8.18,8.18
19590,-52.36,-0.3394,0.0298,0.9355,0.1182,0.5059,0.0548,1577,8.18,6.79
19688,-52.50,-0.4504,0.0837,0.9109,0.0882,0.4138,0.0822,1577,8.18,7.16
19786,-52.57,-0.5205,0.1111,0.8652,-0.0409,0.2165,0.1302,1577,8.18,8.18
19884,-52.65,-0.5261,0.0608,0.8613,-0.0149,0.0224,0.1836,1577,8.18,8.18
19983,-52.48,-0.5420,0.0930,0.8608,0.1432,-0.3821,-0.0141,1577,8.18,8.18
20082,-52.34,-0.4285,0.1682,0.8518,0.1075,-0.6892,-0.0831,1577,8.18,8.18
20180,-52.47,-0.3076,0.2153,0.8552,-0.2366,-0.9615,0.0035,1577,8.18,8.18
20278,-52.39,-0.1953,0.1360,0.8445,-0.6279,-1.0760,0.1943,1577,8.18,8.18
20376,-52.33,0.0188,-0.0413,0.9011,-0.5946,-1.0865,0.2061,1577,8.18,8.18
20474,-52.36,0.1960,-0.1006,0.9961,-0.2388,-0.6619,-0.0674,1577,8.18,8.18
20572,-52.43,0.2278,-0.0837,1.1140,0.1015,-0.0212,-0.2248,1577,8.18,8.18
20670,-52.49,0.1321,-0.0161,1.1162,-0.0314,0.3476,-0.1175,1577,-7.34,8.18
20768,-52.55,-0.0417,0.0327,1.0671,-0.5107,0.4483,0.2208,1577,-8.18,8.18
20866,-52.23,-0.0937,-0.0625,0.9846,-1.1247,0.4441,0.5293,1577,-8.18,8.18
20964,-52.37,-0.1499,-0.2561,0.9045,-1.2068,0.3405,0.6634,1578,-1.51,8.18
21063,-52.59,-0.1926,-0.3621,0.8420,-1.0525,0.2157,0.4438,1578,8.18,8.18
21162,-52.53,-0.1882,-0.5454,0.9097,-0.3484,0.0813,0.3557,1578,8.18,8.18
21260,-52.37,-0.2400,-0.4980,0.9224,0.5025,-0.0558,-0.3616,1578,8.18,8.18
21358,-52.31,-0.2488,-0.3896,0.8879,1.0933,-0.2633,-0.7171,1578,8.18,8.18
21456,-52.44,-0.1458,-0.3035,0.8855,1.5821,-0.3769,-0.9860,1578,8.18,8.18
21554,-52.27,0.0464,-0.0203,0.8955,1.6578,-0.2241,-1.0127,1578,8.18,8.18
21652,-52.42,-0.0156,0.2119,0.9944,0.8299,0.1195,-0.4497,1578,8.18,8.18
21750,-52.38,-0.1667,0.1675,1.0728,-0.1344,0.0273,0.2509,1578,8.18,2.59
21848,-52.28,-0.0410,0.0210,1.1013,-0.3869,-0.1792,0.4851,1578,8.18,-8.18
21946,-52.24,0.0591,-0.0803,1.0745,0.0442,0.0117,0.2614,1578,8.18,-8.18
22044,-52.14,0.0256,0.0151,1.0945,0.4437,0.1395,-0.0650,1578,7.77,-8.18
22143,-52.28,0.0898,0.1899,1.0132,0.2975,0.2730,0.0103,1578,5.52,0.42
22242,-52.21,0.0046,0.1750,0.9314,-0.1178,0.3814,0.0951,1578,7.24,3.03
22340,-52.30,-0.1445,0.0823,0.9578,-0.1677,0.3484,0.1921,1578,8.18,2.22
22438,-52.33,-0.1846,0.0164,0.9673,0.0453,0.3520,0.0811,1578,8.18,3.49
22536,-52.28,-0.2209,0.0674,0.9724,0.3902,0.2770,-0.0618,1578,8.18,7.12
22634,-52.16,-0.2131,0.1765,0.9160,0.2803,0.2064,-0.1835,1578,8.18,8.18
22732,-52.18,-0.1890,0.2278,0.8809,0.1139,0.1508,-0.0675,1578,8.18,8.18
22830,-52.26,-0.2747,0.2251,0.8687,-0.1259,0.1124,-0.0133,1578,8.18,7.04
